id,longitude,latitude,ocean_proximity
66,-122.3,37.81,NEAR BAY
67,-122.3,37.81,NEAR BAY
68,-122.29,37.8,NEAR BAY
69,-122.3,37.81,NEAR BAY
70,-122.29,37.81,NEAR BAY
71,-122.29,37.81,NEAR BAY
72,-122.29,37.81,NEAR BAY
73,-122.29,37.81,NEAR BAY
74,-122.29,37.81,NEAR BAY
75,-122.29,37.81,NEAR BAY
76,-122.28,37.81,NEAR BAY
77,-122.28,37.81,NEAR BAY
78,-122.28,37.81,NEAR BAY
79,-122.29,37.81,NEAR BAY
80,-122.28,37.8,NEAR BAY
81,-122.28,37.81,NEAR BAY
82,-122.27,37.81,NEAR BAY
83,-122.28,37.81,NEAR BAY
84,-122.28,37.81,NEAR BAY
85,-122.28,37.81,NEAR BAY
86,-122.28,37.81,NEAR BAY
87,-122.27,37.81,NEAR BAY
88,-122.27,37.81,NEAR BAY
89,-122.27,37.8,NEAR BAY
90,-122.27,37.8,NEAR BAY
91,-122.27,37.8,NEAR BAY
92,-122.28,37.8,NEAR BAY
93,-122.28,37.8,NEAR BAY
94,-122.27,37.79,NEAR BAY
95,-122.27,37.8,NEAR BAY
96,-122.26,37.8,NEAR BAY
97,-122.26,37.82,NEAR BAY
98,-122.26,37.81,NEAR BAY
99,-122.26,37.82,NEAR BAY
100,-122.26,37.82,NEAR BAY
101,-122.25,37.81,NEAR BAY
102,-122.25,37.81,NEAR BAY
103,-122.25,37.81,NEAR BAY
104,-122.25,37.81,NEAR BAY
105,-122.26,37.81,NEAR BAY
106,-122.24,37.82,NEAR BAY
107,-122.24,37.81,NEAR BAY
108,-122.25,37.81,NEAR BAY
109,-122.24,37.82,NEAR BAY
110,-122.25,37.82,NEAR BAY
111,-122.25,37.82,NEAR BAY
112,-122.25,37.82,NEAR BAY
113,-122.25,37.82,NEAR BAY
114,-122.25,37.83,NEAR BAY
115,-122.25,37.83,NEAR BAY
116,-122.25,37.83,NEAR BAY
117,-122.25,37.83,NEAR BAY
118,-122.25,37.83,NEAR BAY
119,-122.23,37.84,NEAR BAY
120,-122.23,37.84,NEAR BAY
121,-122.24,37.83,NEAR BAY
122,-122.24,37.85,NEAR BAY
123,-122.23,37.85,NEAR BAY
124,-122.24,37.84,NEAR BAY
125,-122.24,37.85,NEAR BAY
126,-122.22,37.85,NEAR BAY
127,-122.22,37.84,NEAR BAY
128,-122.21,37.84,NEAR BAY
129,-122.21,37.83,NEAR BAY
130,-122.2,37.84,NEAR BAY
131,-122.21,37.84,NEAR BAY
132,-122.19,37.84,NEAR BAY
133,-122.2,37.84,NEAR BAY
134,-122.21,37.83,NEAR BAY
135,-122.19,37.83,NEAR BAY
136,-122.2,37.83,NEAR BAY
137,-122.19,37.83,NEAR BAY
138,-122.19,37.82,NEAR BAY
139,-122.2,37.82,NEAR BAY
140,-122.2,37.82,NEAR BAY
141,-122.18,37.81,NEAR BAY
142,-122.21,37.82,NEAR BAY
143,-122.2,37.81,NEAR BAY
144,-122.21,37.8,NEAR BAY
145,-122.21,37.8,NEAR BAY
146,-122.21,37.81,NEAR BAY
147,-122.22,37.81,NEAR BAY
148,-122.22,37.8,NEAR BAY
149,-122.22,37.8,NEAR BAY
150,-122.22,37.8,NEAR BAY
151,-122.22,37.81,NEAR BAY
152,-122.22,37.81,NEAR BAY
153,-122.23,37.8,NEAR BAY
154,-122.23,37.81,NEAR BAY
155,-122.22,37.81,NEAR BAY
156,-122.23,37.81,NEAR BAY
157,-122.24,37.81,NEAR BAY
158,-122.24,37.81,NEAR BAY
159,-122.23,37.81,NEAR BAY
160,-122.24,37.81,NEAR BAY
161,-122.24,37.8,NEAR BAY
162,-122.25,37.8,NEAR BAY
163,-122.24,37.81,NEAR BAY
164,-122.25,37.81,NEAR BAY
165,-122.25,37.8,NEAR BAY
166,-122.25,37.8,NEAR BAY
167,-122.25,37.8,NEAR BAY
168,-122.25,37.8,NEAR BAY
169,-122.24,37.79,NEAR BAY
170,-122.25,37.79,NEAR BAY
171,-122.25,37.79,NEAR BAY
172,-122.25,37.79,NEAR BAY
173,-122.25,37.8,NEAR BAY
174,-122.25,37.8,NEAR BAY
175,-122.24,37.8,NEAR BAY
176,-122.24,37.8,NEAR BAY
177,-122.24,37.8,NEAR BAY
178,-122.24,37.8,NEAR BAY
179,-122.23,37.8,NEAR BAY
180,-122.24,37.8,NEAR BAY
181,-122.24,37.8,NEAR BAY
182,-122.23,37.8,NEAR BAY
183,-122.23,37.8,NEAR BAY
184,-122.23,37.8,NEAR BAY
185,-122.23,37.8,NEAR BAY
186,-122.23,37.79,NEAR BAY
187,-122.23,37.79,NEAR BAY
188,-122.23,37.79,NEAR BAY
189,-122.24,37.79,NEAR BAY
190,-122.24,37.79,NEAR BAY
191,-122.24,37.79,NEAR BAY
192,-122.24,37.79,NEAR BAY
193,-122.25,37.79,NEAR BAY
194,-122.25,37.79,NEAR BAY
195,-122.25,37.79,NEAR BAY
196,-122.26,37.8,NEAR BAY
197,-122.22,37.77,NEAR BAY
198,-122.22,37.77,NEAR BAY
199,-122.23,37.77,NEAR BAY
200,-122.23,37.78,NEAR BAY
201,-122.23,37.78,NEAR BAY
202,-122.22,37.78,NEAR BAY
203,-122.23,37.78,NEAR BAY
204,-122.23,37.78,NEAR BAY
205,-122.23,37.78,NEAR BAY
206,-122.23,37.79,NEAR BAY
207,-122.23,37.79,NEAR BAY
208,-122.22,37.79,NEAR BAY
209,-122.23,37.79,NEAR BAY
210,-122.23,37.79,NEAR BAY
211,-122.22,37.79,NEAR BAY
212,-122.22,37.79,NEAR BAY
213,-122.21,37.79,NEAR BAY
214,-122.22,37.79,NEAR BAY
215,-122.22,37.79,NEAR BAY
216,-122.22,37.79,NEAR BAY
217,-122.2,37.79,NEAR BAY
218,-122.21,37.79,NEAR BAY
219,-122.21,37.79,NEAR BAY
220,-122.21,37.79,NEAR BAY
221,-122.21,37.8,NEAR BAY
222,-122.21,37.8,NEAR BAY
223,-122.2,37.8,NEAR BAY
224,-122.2,37.8,NEAR BAY
225,-122.21,37.8,NEAR BAY
226,-122.2,37.8,NEAR BAY
227,-122.21,37.8,NEAR BAY
228,-122.19,37.8,NEAR BAY
229,-122.19,37.8,NEAR BAY
230,-122.19,37.79,NEAR BAY
231,-122.2,37.79,NEAR BAY
232,-122.2,37.8,NEAR BAY
233,-122.19,37.8,NEAR BAY
234,-122.19,37.79,NEAR BAY
235,-122.19,37.79,NEAR BAY
236,-122.2,37.79,NEAR BAY
237,-122.2,37.79,NEAR BAY
238,-122.2,37.79,NEAR BAY
239,-122.21,37.79,NEAR BAY
240,-122.2,37.79,NEAR BAY
241,-122.21,37.78,NEAR BAY
242,-122.21,37.78,NEAR BAY
243,-122.21,37.78,NEAR BAY
244,-122.21,37.78,NEAR BAY
245,-122.22,37.78,NEAR BAY
246,-122.21,37.78,NEAR BAY
247,-122.21,37.78,NEAR BAY
248,-122.22,37.77,NEAR BAY
249,-122.22,37.78,NEAR BAY
250,-122.22,37.78,NEAR BAY
251,-122.22,37.78,NEAR BAY
252,-122.21,37.76,NEAR BAY
253,-122.21,37.77,NEAR BAY
254,-122.21,37.77,NEAR BAY
255,-122.2,37.77,NEAR BAY
256,-122.21,37.77,NEAR BAY
257,-122.21,37.77,NEAR BAY
258,-122.19,37.77,NEAR BAY
259,-122.2,37.77,NEAR BAY
260,-122.2,37.77,NEAR BAY
261,-122.2,37.78,NEAR BAY
262,-122.2,37.78,NEAR BAY
263,-122.2,37.78,NEAR BAY
264,-122.2,37.77,NEAR BAY
265,-122.21,37.78,NEAR BAY
266,-122.19,37.78,NEAR BAY
267,-122.19,37.77,NEAR BAY
268,-122.19,37.77,NEAR BAY
269,-122.19,37.78,NEAR BAY
270,-122.19,37.78,NEAR BAY
271,-122.18,37.78,NEAR BAY
272,-122.19,37.78,NEAR BAY
273,-122.19,37.78,NEAR BAY
274,-122.2,37.78,NEAR BAY
275,-122.18,37.79,NEAR BAY
276,-122.18,37.79,NEAR BAY
277,-122.18,37.79,NEAR BAY
278,-122.19,37.79,NEAR BAY
279,-122.19,37.79,NEAR BAY
280,-122.18,37.81,NEAR BAY
281,-122.18,37.8,NEAR BAY
282,-122.18,37.8,NEAR BAY
283,-122.13,37.77,NEAR BAY
284,-122.16,37.79,NEAR BAY
285,-122.17,37.78,NEAR BAY
286,-122.17,37.77,NEAR BAY
287,-122.18,37.78,NEAR BAY
288,-122.18,37.78,NEAR BAY
289,-122.17,37.78,NEAR BAY
290,-122.17,37.78,NEAR BAY
291,-122.16,37.77,NEAR BAY
292,-122.16,37.77,NEAR BAY
293,-122.16,37.77,NEAR BAY
294,-122.16,37.77,NEAR BAY
295,-122.17,37.77,NEAR BAY
296,-122.17,37.77,NEAR BAY
297,-122.17,37.76,NEAR BAY
298,-122.17,37.76,NEAR BAY
299,-122.18,37.76,NEAR BAY
300,-122.17,37.76,NEAR BAY
301,-122.18,37.76,NEAR BAY
302,-122.18,37.76,NEAR BAY
303,-122.18,37.76,NEAR BAY
304,-122.18,37.77,NEAR BAY
305,-122.18,37.77,NEAR BAY
306,-122.18,37.76,NEAR BAY
307,-122.19,37.76,NEAR BAY
308,-122.18,37.77,NEAR BAY
309,-122.18,37.77,NEAR BAY
310,-122.18,37.77,NEAR BAY
311,-122.19,37.76,NEAR BAY
312,-122.2,37.76,NEAR BAY
313,-122.19,37.77,NEAR BAY
314,-122.19,37.77,NEAR BAY
315,-122.19,37.76,NEAR BAY
316,-122.19,37.76,NEAR BAY
317,-122.2,37.75,NEAR BAY
318,-122.2,37.76,NEAR BAY
319,-122.19,37.76,NEAR BAY
320,-122.19,37.75,NEAR BAY
321,-122.19,37.75,NEAR BAY
322,-122.19,37.76,NEAR BAY
323,-122.19,37.74,NEAR BAY
324,-122.18,37.74,NEAR BAY
325,-122.19,37.73,NEAR BAY
326,-122.19,37.74,NEAR BAY
327,-122.19,37.73,NEAR BAY
328,-122.18,37.73,NEAR BAY
329,-122.18,37.73,NEAR BAY
330,-122.18,37.73,NEAR BAY
331,-122.18,37.73,NEAR BAY
332,-122.17,37.74,NEAR BAY
333,-122.17,37.74,NEAR BAY
334,-122.17,37.74,NEAR BAY
335,-122.17,37.73,NEAR BAY
336,-122.18,37.74,NEAR BAY
337,-122.17,37.74,NEAR BAY
338,-122.17,37.74,NEAR BAY
339,-122.18,37.74,NEAR BAY
340,-122.18,37.75,NEAR BAY
341,-122.18,37.75,NEAR BAY
342,-122.17,37.75,NEAR BAY
343,-122.18,37.75,NEAR BAY
344,-122.19,37.75,NEAR BAY
345,-122.18,37.75,NEAR BAY
346,-122.18,37.75,NEAR BAY
347,-122.17,37.76,NEAR BAY
348,-122.17,37.75,NEAR BAY
349,-122.17,37.75,NEAR BAY
350,-122.17,37.75,NEAR BAY
351,-122.17,37.75,NEAR BAY
352,-122.16,37.76,NEAR BAY
353,-122.16,37.75,NEAR BAY
354,-122.17,37.75,NEAR BAY
355,-122.17,37.76,NEAR BAY
356,-122.16,37.76,NEAR BAY
357,-122.16,37.76,NEAR BAY
358,-122.15,37.76,NEAR BAY
359,-122.14,37.77,NEAR BAY
360,-122.14,37.76,NEAR BAY
361,-122.13,37.76,NEAR BAY
362,-122.12,37.75,NEAR BAY
363,-122.12,37.75,NEAR BAY
364,-122.14,37.75,NEAR BAY
365,-122.14,37.75,NEAR BAY
366,-122.13,37.75,NEAR BAY
367,-122.13,37.75,NEAR BAY
368,-122.13,37.74,NEAR BAY
369,-122.16,37.75,NEAR BAY
370,-122.15,37.75,NEAR BAY
371,-122.15,37.75,NEAR BAY
372,-122.15,37.74,NEAR BAY
373,-122.16,37.75,NEAR BAY
374,-122.16,37.75,NEAR BAY
375,-122.15,37.74,NEAR BAY
376,-122.15,37.74,NEAR BAY
377,-122.16,37.75,NEAR BAY
378,-122.16,37.75,NEAR BAY
379,-122.17,37.74,NEAR BAY
380,-122.17,37.75,NEAR BAY
381,-122.16,37.74,NEAR BAY
382,-122.16,37.74,NEAR BAY
383,-122.16,37.74,NEAR BAY
384,-122.16,37.74,NEAR BAY
385,-122.16,37.74,NEAR BAY
386,-122.29,37.9,NEAR BAY
387,-122.29,37.9,NEAR BAY
388,-122.29,37.89,NEAR BAY
389,-122.3,37.9,NEAR BAY
390,-122.29,37.89,NEAR BAY
391,-122.3,37.89,NEAR BAY
392,-122.3,37.9,NEAR BAY
393,-122.3,37.89,NEAR BAY
394,-122.3,37.89,NEAR BAY
395,-122.33,37.89,NEAR BAY
396,-122.34,37.88,NEAR BAY
397,-122.29,37.89,NEAR BAY
398,-122.29,37.88,NEAR BAY
399,-122.29,37.89,NEAR BAY
400,-122.29,37.89,NEAR BAY
401,-122.28,37.88,NEAR BAY
402,-122.29,37.89,NEAR BAY
403,-122.27,37.9,NEAR BAY
404,-122.26,37.9,NEAR BAY
405,-122.27,37.9,NEAR BAY
406,-122.27,37.9,NEAR BAY
407,-122.27,37.9,NEAR BAY
408,-122.27,37.89,NEAR BAY
409,-122.28,37.9,NEAR BAY
410,-122.28,37.9,NEAR BAY
411,-122.28,37.9,NEAR BAY
412,-122.28,37.89,NEAR BAY
413,-122.28,37.89,NEAR BAY
414,-122.28,37.89,NEAR BAY
415,-122.28,37.89,NEAR BAY
416,-122.27,37.89,NEAR BAY
417,-122.27,37.89,NEAR BAY
418,-122.26,37.9,NEAR BAY
419,-122.25,37.89,NEAR BAY
420,-122.26,37.89,NEAR BAY
421,-122.26,37.89,NEAR BAY
422,-122.25,37.89,NEAR BAY
423,-122.25,37.89,NEAR BAY
424,-122.26,37.88,NEAR BAY
425,-122.26,37.88,NEAR BAY
426,-122.27,37.88,NEAR BAY
427,-122.27,37.88,NEAR BAY
428,-122.27,37.88,NEAR BAY
429,-122.28,37.88,NEAR BAY
430,-122.28,37.88,NEAR BAY
431,-122.28,37.88,NEAR BAY
432,-122.29,37.88,NEAR BAY
433,-122.29,37.88,NEAR BAY
434,-122.29,37.88,NEAR BAY
435,-122.29,37.88,NEAR BAY
436,-122.3,37.88,NEAR BAY
437,-122.3,37.88,NEAR BAY
438,-122.3,37.87,NEAR BAY
439,-122.3,37.86,NEAR BAY
440,-122.29,37.85,NEAR BAY
441,-122.3,37.88,NEAR BAY
442,-122.3,37.87,NEAR BAY
443,-122.28,37.88,NEAR BAY
444,-122.28,37.87,NEAR BAY
445,-122.28,37.87,NEAR BAY
446,-122.29,37.87,NEAR BAY
447,-122.29,37.87,NEAR BAY
448,-122.28,37.88,NEAR BAY
449,-122.28,37.87,NEAR BAY
450,-122.28,37.87,NEAR BAY
451,-122.27,37.88,NEAR BAY
452,-122.27,37.87,NEAR BAY
453,-122.27,37.88,NEAR BAY
454,-122.26,37.88,NEAR BAY
455,-122.26,37.88,NEAR BAY
456,-122.26,37.88,NEAR BAY
457,-122.25,37.87,NEAR BAY
458,-122.25,37.87,NEAR BAY
459,-122.25,37.87,NEAR BAY
460,-122.25,37.87,NEAR BAY
461,-122.26,37.87,NEAR BAY
462,-122.26,37.87,NEAR BAY
463,-122.27,37.87,NEAR BAY
464,-122.27,37.87,NEAR BAY
465,-122.27,37.87,NEAR BAY
466,-122.28,37.86,NEAR BAY
467,-122.28,37.87,NEAR BAY
468,-122.28,37.87,NEAR BAY
469,-122.29,37.87,NEAR BAY
470,-122.29,37.87,NEAR BAY
471,-122.29,37.86,NEAR BAY
472,-122.28,37.86,NEAR BAY
473,-122.29,37.87,NEAR BAY
474,-122.29,37.86,NEAR BAY
475,-122.28,37.86,NEAR BAY
476,-122.28,37.86,NEAR BAY
477,-122.28,37.85,NEAR BAY
478,-122.27,37.86,NEAR BAY
479,-122.28,37.86,NEAR BAY
480,-122.28,37.86,NEAR BAY
481,-122.28,37.86,NEAR BAY
482,-122.27,37.86,NEAR BAY
483,-122.27,37.86,NEAR BAY
484,-122.27,37.86,NEAR BAY
485,-122.27,37.86,NEAR BAY
486,-122.26,37.86,NEAR BAY
487,-122.26,37.86,NEAR BAY
488,-122.26,37.86,NEAR BAY
489,-122.26,37.86,NEAR BAY
490,-122.25,37.86,NEAR BAY
491,-122.25,37.86,NEAR BAY
492,-122.25,37.86,NEAR BAY
493,-122.25,37.86,NEAR BAY
494,-122.24,37.86,NEAR BAY
495,-122.24,37.85,NEAR BAY
496,-122.25,37.86,NEAR BAY
497,-122.26,37.85,NEAR BAY
498,-122.27,37.85,NEAR BAY
499,-122.27,37.85,NEAR BAY
500,-122.27,37.85,NEAR BAY
501,-122.27,37.85,NEAR BAY
502,-122.27,37.85,NEAR BAY
503,-122.27,37.85,NEAR BAY
504,-122.28,37.85,NEAR BAY
505,-122.28,37.85,NEAR BAY
506,-122.28,37.85,NEAR BAY
507,-122.29,37.84,NEAR BAY
508,-122.28,37.83,NEAR BAY
509,-122.3,37.84,NEAR BAY
510,-122.23,37.83,NEAR BAY
511,-122.22,37.82,NEAR BAY
512,-122.22,37.82,NEAR BAY
513,-122.23,37.82,NEAR BAY
514,-122.23,37.82,NEAR BAY
515,-122.23,37.82,NEAR BAY
516,-122.24,37.83,NEAR BAY
517,-122.24,37.83,NEAR BAY
518,-122.23,37.82,NEAR BAY
519,-122.24,37.82,NEAR BAY
520,-122.25,37.82,NEAR BAY
521,-122.23,37.76,NEAR BAY
522,-122.23,37.76,NEAR BAY
523,-122.23,37.76,NEAR BAY
524,-122.24,37.77,NEAR BAY
525,-122.23,37.77,NEAR BAY
526,-122.24,37.77,NEAR BAY
527,-122.25,37.77,NEAR BAY
528,-122.25,37.77,NEAR BAY
529,-122.25,37.77,NEAR BAY
530,-122.25,37.77,NEAR BAY
531,-122.26,37.78,NEAR BAY
532,-122.26,37.78,NEAR BAY
533,-122.27,37.78,NEAR BAY
534,-122.27,37.78,NEAR BAY
535,-122.27,37.78,NEAR BAY
536,-122.27,37.78,NEAR BAY
537,-122.28,37.79,NEAR BAY
538,-122.3,37.77,NEAR BAY
539,-122.28,37.78,NEAR BAY
540,-122.29,37.78,NEAR BAY
541,-122.28,37.77,NEAR BAY
542,-122.28,37.77,NEAR BAY
543,-122.29,37.76,NEAR BAY
544,-122.28,37.78,NEAR BAY
545,-122.26,37.77,NEAR BAY
546,-122.27,37.77,NEAR BAY
547,-122.27,37.77,NEAR BAY
548,-122.27,37.77,NEAR BAY
549,-122.27,37.77,NEAR BAY
550,-122.25,37.77,NEAR BAY
551,-122.26,37.77,NEAR BAY
552,-122.26,37.77,NEAR BAY
553,-122.26,37.77,NEAR BAY
554,-122.26,37.77,NEAR BAY
555,-122.26,37.77,NEAR BAY
556,-122.24,37.77,NEAR BAY
557,-122.25,37.77,NEAR BAY
558,-122.23,37.76,NEAR BAY
559,-122.23,37.76,NEAR BAY
560,-122.24,37.76,NEAR BAY
561,-122.24,37.76,NEAR BAY
562,-122.23,37.76,NEAR BAY
563,-122.23,37.75,NEAR BAY
564,-122.24,37.75,NEAR BAY
565,-122.24,37.75,NEAR BAY
566,-122.24,37.76,NEAR BAY
567,-122.24,37.76,NEAR BAY
568,-122.24,37.76,NEAR BAY
569,-122.24,37.73,NEAR BAY
570,-122.25,37.74,NEAR BAY
571,-122.24,37.72,NEAR BAY
572,-122.27,37.73,NEAR BAY
573,-122.25,37.76,NEAR BAY
574,-122.27,37.74,NEAR BAY
575,-122.27,37.77,NEAR BAY
576,-122.28,37.75,NEAR BAY
577,-122.06,37.77,NEAR BAY
578,-122.06,37.73,NEAR BAY
579,-122.06,37.71,NEAR BAY
580,-122.07,37.71,NEAR BAY
581,-122.07,37.71,NEAR BAY
582,-122.07,37.72,NEAR BAY
583,-122.08,37.72,NEAR BAY
584,-122.08,37.72,NEAR BAY
585,-122.08,37.71,NEAR BAY
586,-122.09,37.71,NEAR BAY
587,-122.1,37.72,NEAR BAY
588,-122.11,37.71,NEAR BAY
589,-122.1,37.7,NEAR BAY
590,-122.1,37.69,NEAR BAY
591,-122.09,37.71,NEAR BAY
592,-122.09,37.7,NEAR BAY
593,-122.1,37.71,NEAR BAY
594,-122.09,37.7,NEAR BAY
595,-122.08,37.71,NEAR BAY
596,-122.08,37.71,NEAR BAY
597,-122.08,37.7,NEAR BAY
598,-122.07,37.7,NEAR BAY
599,-122.06,37.7,NEAR BAY
600,-122.06,37.7,NEAR BAY
601,-122.07,37.7,NEAR BAY
602,-122.08,37.7,NEAR BAY
603,-122.09,37.7,NEAR BAY
604,-122.07,37.69,NEAR BAY
605,-122.08,37.69,NEAR BAY
606,-122.07,37.69,NEAR BAY
607,-122.08,37.69,NEAR BAY
608,-122.08,37.69,NEAR BAY
609,-122.08,37.68,NEAR BAY
610,-122.08,37.68,NEAR BAY
611,-122.09,37.69,NEAR BAY
612,-122.15,37.74,NEAR BAY
613,-122.14,37.74,NEAR BAY
614,-122.14,37.73,NEAR BAY
615,-122.15,37.74,NEAR BAY
616,-122.16,37.73,NEAR BAY
617,-122.15,37.74,NEAR BAY
618,-122.15,37.73,NEAR BAY
619,-122.15,37.73,NEAR BAY
620,-122.17,37.73,NEAR BAY
621,-122.16,37.73,NEAR BAY
622,-122.17,37.73,NEAR BAY
623,-122.16,37.73,NEAR BAY
624,-122.18,37.72,NEAR BAY
625,-122.18,37.71,NEAR BAY
626,-122.17,37.71,NEAR BAY
627,-122.18,37.7,NEAR BAY
628,-122.18,37.7,NEAR BAY
629,-122.19,37.71,NEAR BAY
630,-122.17,37.72,NEAR BAY
631,-122.17,37.72,NEAR BAY
632,-122.17,37.72,NEAR BAY
633,-122.16,37.72,NEAR BAY
634,-122.17,37.72,NEAR BAY
635,-122.16,37.71,NEAR BAY
636,-122.16,37.71,NEAR BAY
637,-122.16,37.72,NEAR BAY
638,-122.15,37.73,NEAR BAY
639,-122.15,37.72,NEAR BAY
640,-122.15,37.72,NEAR BAY
641,-122.15,37.72,NEAR BAY
642,-122.14,37.73,NEAR BAY
643,-122.14,37.73,NEAR BAY
644,-122.14,37.73,NEAR BAY
645,-122.13,37.73,NEAR BAY
646,-122.13,37.72,NEAR BAY
647,-122.13,37.72,NEAR BAY
648,-122.12,37.71,NEAR BAY
649,-122.13,37.72,NEAR BAY
650,-122.14,37.72,NEAR BAY
651,-122.14,37.72,NEAR BAY
652,-122.13,37.72,NEAR BAY
653,-122.13,37.71,NEAR BAY
654,-122.13,37.71,NEAR BAY
655,-122.15,37.71,NEAR BAY
656,-122.14,37.71,NEAR BAY
657,-122.14,37.71,NEAR BAY
658,-122.13,37.7,NEAR BAY
659,-122.13,37.7,NEAR BAY
660,-122.15,37.71,NEAR BAY
661,-122.15,37.7,NEAR BAY
662,-122.14,37.7,NEAR BAY
663,-122.13,37.7,NEAR BAY
664,-122.13,37.69,NEAR BAY
665,-122.14,37.7,NEAR BAY
666,-122.16,37.7,NEAR BAY
667,-122.14,37.69,NEAR BAY
668,-122.15,37.69,NEAR BAY
669,-122.15,37.69,NEAR BAY
670,-122.15,37.7,NEAR BAY
671,-122.16,37.69,NEAR BAY
672,-122.16,37.7,NEAR BAY
673,-122.16,37.7,NEAR BAY
674,-122.17,37.7,NEAR BAY
675,-122.16,37.68,NEAR BAY
676,-122.17,37.69,NEAR BAY
677,-122.18,37.68,NEAR BAY
678,-122.16,37.69,NEAR BAY
679,-122.15,37.69,NEAR BAY
680,-122.15,37.68,NEAR BAY
681,-122.15,37.68,NEAR BAY
682,-122.15,37.69,NEAR BAY
683,-122.14,37.69,NEAR BAY
684,-122.14,37.68,NEAR BAY
685,-122.14,37.68,NEAR BAY
686,-122.1,37.69,NEAR BAY
687,-122.12,37.69,NEAR BAY
688,-122.13,37.69,NEAR BAY
689,-122.12,37.71,NEAR BAY
690,-122.12,37.7,NEAR BAY
691,-122.12,37.7,NEAR BAY
692,-122.12,37.69,NEAR BAY
693,-122.12,37.7,NEAR BAY
694,-122.11,37.7,NEAR BAY
695,-122.11,37.7,NEAR BAY
696,-122.11,37.7,NEAR BAY
697,-122.1,37.69,NEAR BAY
698,-122.11,37.69,NEAR BAY
699,-122.11,37.69,NEAR BAY
700,-122.12,37.69,NEAR BAY
701,-122.03,37.69,NEAR BAY
702,-121.97,37.64,<1H OCEAN
703,-122.02,37.63,NEAR BAY
704,-122.04,37.63,NEAR BAY
705,-122.05,37.63,NEAR BAY
706,-122.04,37.66,NEAR BAY
707,-122.04,37.65,NEAR BAY
708,-122.05,37.68,NEAR BAY
709,-122.07,37.68,NEAR BAY
710,-122.06,37.68,NEAR BAY
711,-122.08,37.68,NEAR BAY
712,-122.08,37.68,NEAR BAY
713,-122.08,37.67,NEAR BAY
714,-122.09,37.67,NEAR BAY
715,-122.09,37.68,NEAR BAY
716,-122.09,37.69,NEAR BAY
717,-122.09,37.68,NEAR BAY
718,-122.09,37.68,NEAR BAY
719,-122.09,37.68,NEAR BAY
720,-122.1,37.68,NEAR BAY
721,-122.1,37.68,NEAR BAY
722,-122.11,37.68,NEAR BAY
723,-122.1,37.68,NEAR BAY
724,-122.1,37.67,NEAR BAY
725,-122.1,37.68,NEAR BAY
726,-122.12,37.68,NEAR BAY
727,-122.12,37.68,NEAR BAY
728,-122.12,37.68,NEAR BAY
729,-122.11,37.67,NEAR BAY
730,-122.12,37.68,NEAR BAY
731,-122.13,37.68,NEAR BAY
732,-122.13,37.68,NEAR BAY
733,-122.13,37.68,NEAR BAY
734,-122.14,37.68,NEAR BAY
